transaction_ID,date_time,day_of_week,total,place,item_type,amount
1,2019-07-11 15:35:00.000,Thursday,23800,NULL,Angbutter,1
1,2019-07-11 15:35:00.000,Thursday,23800,NULL,Americano,1
1,2019-07-11 15:35:00.000,Thursday,23800,NULL,Tiramisu croissant,3
1,2019-07-11 15:35:00.000,Thursday,23800,NULL,Vanila latte,1
2,2019-07-11 16:10:00.000,Thursday,15800,NULL,Angbutter,1
2,2019-07-11 16:10:00.000,Thursday,15800,NULL,Tiramisu croissant,1
2,2019-07-11 16:10:00.000,Thursday,15800,NULL,Orange pound,1
3,2019-07-12 11:49:00.000,Friday,58000,NULL,Tiramisu croissant,14
4,2019-07-13 13:19:00.000,Saturday,14800,NULL,Angbutter,1
4,2019-07-13 13:19:00.000,Saturday,14800,NULL,Plain bread,1
4,2019-07-13 13:19:00.000,Saturday,14800,NULL,Vanila latte,1
5,2019-07-13 13:22:00.000,Saturday,15600,NULL,Angbutter,2
5,2019-07-13 13:22:00.000,Saturday,15600,NULL,Tiramisu croissant,1
6,2019-07-13 14:54:00.000,Saturday,15800,NULL,Angbutter,1
6,2019-07-13 14:54:00.000,Saturday,15800,NULL,Milk tea,1
6,2019-07-13 14:54:00.000,Saturday,15800,NULL,Vanila latte,1
7,2019-07-13 15:08:00.000,Saturday,15800,NULL,Angbutter,1
7,2019-07-13 15:08:00.000,Saturday,15800,NULL,Orange pound,1
7,2019-07-13 15:08:00.000,Saturday,15800,NULL,Vanila latte,1
8,2019-07-13 15:09:00.000,Saturday,14000,NULL,Tiramisu croissant,2
8,2019-07-13 15:09:00.000,Saturday,14000,NULL,Cacao deep,1
9,2019-07-13 15:23:00.000,Saturday,19100,NULL,Angbutter,2
9,2019-07-13 15:23:00.000,Saturday,19100,NULL,Plain bread,1
9,2019-07-13 15:23:00.000,Saturday,19100,NULL,Tiramisu croissant,1
10,2019-07-13 16:32:00.000,Saturday,22300,NULL,Angbutter,1
10,2019-07-13 16:32:00.000,Saturday,22300,NULL,Plain bread,1
10,2019-07-13 16:32:00.000,Saturday,22300,NULL,Tiramisu croissant,1
